C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_05_543.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_05_543.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_05_543.jpg, 0, 0, 0, 7.801194E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_05_643.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_05_643.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_05_643.jpg, 0, 0, 0, 7.854812E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_05_746.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_05_746.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_05_746.jpg, 0, 0, 0, 7.840444E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_05_846.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_05_846.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_05_846.jpg, 0, 0, 0, 7.90117E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_05_948.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_05_948.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_05_948.jpg, 0, 0, 0, 7.829723E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_06_048.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_06_048.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_06_048.jpg, 0, 0, 0, 7.812947E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_06_148.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_06_148.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_06_148.jpg, 0, 0, 0, 8.050019E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_06_250.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_06_250.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_06_250.jpg, 0, 0, 0, 8.001581E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_06_349.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_06_349.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_06_349.jpg, 0, 0, 0, 7.839493E-05
C:\Users\Admin\Desktop\self-driving\IMG\center_2021_03_11_21_15_06_449.jpg, C:\Users\Admin\Desktop\self-driving\IMG\left_2021_03_11_21_15_06_449.jpg, C:\Users\Admin\Desktop\self-driving\IMG\right_2021_03_11_21_15_06_449.jpg, 0, 0, 0, 7.803344E-05
